Dif. SG_N,Dif. SG_P,Early round SD_N,Early round SD_P,Elong. SD_N,Elong. SD_P,Late round SD_N,Late round SD_P,SC.I_N,SC.I_P,SC.II_N,SC.II_P,Sertoli_N,Sertoli_P,Undif. SG_N,Undif. SG_P
TMEM80,4.4290964513779254e-14,SPAG16,7.150806330158693e-45,COL5A2,2.12715037962979e-26,GOLGA8A,3.9187504931046787e-35,ELFN2,2.5098056897821607e-38,LOC105372088,2.149714759637015e-45,SRSF11,4.761815049825123e-53,LAMA4,5.371349153295999e-23
LOC105369466,5.003704788401791e-14,LOC105375503,6.540519114900713e-44,ZNF286A-TBC1D26,3.818189843152865e-26,STPG3,5.019005028059978e-35,BUB1,2.731905716664244e-38,DNAAF1,1.2430478149082221e-45,AFF2,3.131807804447217e-52,CPED1,5.948335967300405e-23
UBXN1,4.8978811701879066e-14,IFT74,3.518725519601044e-44,BRSK1,6.433211722242306e-26,SPAM1,4.650638809279408e-35,ACTR3B,3.5453393946627826e-39,CDH12,1.489862840783663e-45,TBC1D4,5.692105428471151e-52,SEMA6D,4.725714576039585e-23
MDN1,4.765486091721855e-14,COMMD1,4.533017551081139e-44,LINC01974,9.13737537264212e-26,COL5A3,3.797925617518605e-35,STPG2,1.5897892075206355e-38,FMN1,2.962177311854608e-45,GFUS,5.692105428471151e-52,AFF3,8.955775399888232e-23
NEXMIF,5.753461399943679e-14,MUC12,1.2153831610536162e-43,C10orf82,7.435033605323761e-26,FAM166A,2.305936152998378e-34,CCDC88A,3.8436326766654794e-38,DDX19B,4.6056196747229374e-45,CACNB4,9.767495349530477e-52,FMNL2,1.2872374073080901e-22
MGC4859,5.837039050024318e-14,C4orf47,1.2971547964075944e-43,CD37,1.602487770702531e-25,SLC66A2,2.550172518279546e-34,PCSK4,7.582873609247465e-38,LINC02367,7.109632976455054e-45,HLTF,1.5115284461228974e-51,GSTM5,2.540070684024461e-22
ZNF280C,6.735939556097886e-14,C10orf67,4.102160049953981e-43,SMC2,1.90478798064593e-25,CCDC178,1.6235283704563846e-34,LOC101928030,2.043720815604259e-37,INO80E,1.3670809762736504e-44,SPOCK2,1.7656052223322193e-51,XYLT1,2.0620788663154508e-22
HIBADH,6.616093766494885e-14,LOC101929563,5.304865712743422e-43,CCDC30,2.57189225402166e-25,SCN1A-AS1,2.089181451248709e-34,LINC00879,3.7290610770955417e-37,LOC105372008,3.585248710910279e-44,KAT2A,1.8229283911967013e-51,ZBTB20-AS1,3.101373313776722e-22
LOC105378486,6.895806691042548e-14,CNGA4,8.113359635697743e-43,PPP1R11,3.0733833652749598e-25,LOC105374754,7.656763521887401e-34,RBM44,2.9034836323332898e-37,OMD,3.2734872082009924e-44,amplicon-chrX-G6PD/IKBKG,3.5056478380912354e-51,TMSB4X,4.235275339585896e-22
SGSM3,7.632510214145403e-14,DZANK1,1.0633136927813868e-42,NRG1,3.0552035937133807e-25,C11orf65,5.154711086493737e-34,TIMP3,3.3944231943452015e-37,CEP83-DT,4.70561905281073e-44,FAM135A,1.7480748393830255e-51,GAB1,6.580064217334696e-22
TMEM258,8.892775273578802e-14,RBAKDN,6.54114853755999e-43,MOSPD3,3.290901416709618e-25,GALNTL5,6.589893858050338e-34,AK6,6.38688708327584e-37,ANKRD36C,7.337197592781247e-44,TENM3,5.428558907682961e-52,IGF2BP2,6.032070643379654e-22
CUTA,9.366175812348594e-14,BTBD16,1.4919121985015755e-42,RAD51L3-RFFL,5.353671095564466e-25,C10orf82,1.0299725904421649e-33,SCAPER,3.7290610770955417e-37,MAD2L1-DT,6.012309243759156e-44,TCF4,2.5296907203665257e-51,ARHGAP10,5.981335271652182e-22
LY6K,9.358347241735812e-14,PTTG1IP2,1.6799215584103313e-42,LIFR,5.721873338055556e-25,LINC01317,1.6154853812449515e-33,TOP2A,1.8329440153118357e-36,ANGPTL1,4.398986587169138e-44,TOX,5.702748783287157e-51,LINC00924,9.617755473249325e-22
NASP,1.0594730129966567e-13,HYDIN,1.1827994347013905e-42,KLC3,1.0234323938301452e-24,SUPT3H,1.593143099265572e-33,LOC105375027,4.0039352134398815e-36,KRT72,2.4997582967810946e-43,SLCO1A2,7.442198759605927e-51,TET2,1.3194309559220515e-21
PRSS50,1.409411389285611e-13,FSHR,2.858548689083274e-42,GOLGA2,8.689957155472065e-25,PRM3,2.470715429115765e-33,GPATCH8,1.380262158553722e-36,SPPL2B,1.5152388231008393e-43,DEFB119,7.442198759605927e-51,COL4A3,1.5191096349367888e-21
RAD51B,1.6954668093629084e-13,SPAG6,2.1852117863404186e-42,PHF1,9.586257267248606e-25,CSNK1G2-AS1,5.8889953008792444e-33,LOC100287944,2.424289295682076e-36,DENND5B,4.1764402351503876e-43,COL1A2,6.539303595307928e-51,FKBP5,2.2671060009285732e-21
LOC730183,2.1159446519627105e-13,STXBP5-AS1,2.0029631227856263e-42,LOC107984901,1.5512738730855748e-24,CCDC196,7.204179836079673e-33,PDE3B,5.142263090882344e-36,KCNK10,1.411916834077026e-42,DNM3,5.0122307315434144e-51,TSHZ3,2.524246325644797e-21
RPS9,2.980576679819427e-13,TPRG1,3.1387536603409504e-42,CLSTN2,1.3298905319311884e-24,GPATCH3,1.3298368209834425e-32,PPP1R35,6.578356957600984e-36,NOL4L,1.2508687279660547e-42,SSR4,2.923771748264329e-50,LRFN5,2.7013559859477518e-21
MAGI1-AS1,3.0888365332123884e-13,CCNJL,5.2114557332831545e-42,HPD,2.585034644988184e-24,DNAJC4,2.61824548817626e-32,PCBP3,5.869367561676413e-36,VPS28,2.0262988292272372e-42,MTRNR2L8,1.1646253451684396e-49,PLXDC2,3.05969163793541e-21
LOC105375815,3.123298371019059e-13,LOC105372201,1.093449110958342e-41,AGAP4,4.2528314277932315e-24,LINC01619,3.015955107451627e-32,C5orf58,7.550915191539158e-36,LINC02222,2.76517651397317e-42,PDIA3,8.208790571918491e-50,LOC105377703,5.281413718476612e-21
RSRP1,5.567258568650266e-13,TULP3,5.104846465995606e-42,USP12,4.4719210762307754e-24,LMNTD2,4.1243587671557774e-32,ERI2,1.2747598761484124e-35,EFCAB5,2.7026697255577062e-42,SEMA3C,1.1985005418608478e-49,ABCA8,6.497342698244695e-21
LOC100507412,7.373069532662735e-13,LINC01911,7.471934628793398e-42,ITIH1,9.839358911367495e-24,C20orf141,5.361753378875373e-32,DDX39A,8.080213180315142e-36,C9orf57,3.791412789459611e-42,ABCA8,8.012237805963619e-50,NR3C2,5.9212927451279954e-21
SHISA6,8.385030775413328e-13,DNAI4,5.1134802500744627e-42,FAM230I,1.1444857157308374e-23,LOC105377989,5.169444372619619e-32,CCP110,4.583997614344548e-35,POLR1C,3.331813241240309e-43,CCK,2.946180422622912e-49,LOC101927521,7.199737267298044e-21
GRIN2A,9.14135641550879e-13,GRM5,2.72469925103289e-41,LOC105369844,1.000343268962008e-23,ADGRL3,2.725463640517232e-32,VIPR2,8.053088449230222e-35,SLC9C2,3.6242630526402165e-42,PLCXD3,2.7759241999436503e-49,CACNA2D1,8.446805904534259e-21
LOC105376214,1.0736387066106383e-12,LOC107987084,4.578626896363002e-41,FAM229A,1.0904412547553355e-23,VAV3,6.092434592161178e-32,SGO2,1.0610599103926382e-34,TBP,5.276862392295648e-42,RALGAPA2,1.2465372746720848e-49,COL1A1,1.1211337555063961e-20
PILRA,1.1280518781913863e-12,DCST2,4.5864070715568297e-41,IQCF6,1.5197867246591748e-23,SPATA21,1.2668266614877351e-31,RGS12,1.5010823996814752e-34,DYDC2,3.782002750111941e-42,SAT2,5.761728405668666e-49,TCF7L2,1.2146083647158068e-20
SHANK2,1.0971902103901167e-12,ARMC2,3.581894914144985e-41,STARD13,1.4686449262715197e-23,ADGRF3,1.3118203323777285e-31,SUGP2,1.4441300711017723e-34,TSACC,4.290612928884144e-42,PKN2,2.4475297091283005e-49,RBPMS,1.250298080686997e-20
PRSS41,1.3054253821073361e-12,MRC1,5.194271789538905e-41,ETNK1-DT,2.811663798181943e-23,LOC107985255,1.2835110101466621e-31,DMRTC2,5.497598156165862e-34,SLC9B1,5.081765123419255e-42,SLC7A2,8.011345551208517e-49,DDX17,1.421090511103089e-20
SRBD1,1.5204557544290951e-12,CFAP20DC-AS1,3.7914045538929677e-41,LINC01697,2.8233021239064586e-23,DNAL4,1.709373904371853e-31,SON,3.3046800958865505e-34,CCDC83,7.047845714481387e-42,TMPRSS9,9.686460594668458e-49,SRPX,2.1189912518277457e-20
HAGHL,1.7883407295975073e-12,SCN1A-AS1,7.755664749509382e-41,SOCS1,3.690815681976431e-23,LINC01695,1.7127043911011865e-31,LOC105376101,7.242476224074991e-34,RFX4,6.275113284607956e-42,ZMYND8,1.3417119024144892e-48,MAGI1-AS1,2.1861423929489545e-20
GIGYF1,1.787533549257878e-12,LOC105370785,1.0862309021464653e-40,NEK1,3.653536974633672e-23,KCNIP4,1.4684345154334486e-31,C8orf82,1.1044796177015563e-33,ASRGL1,8.564715400067171e-42,LOC105379516,6.074204335395079e-48,PIK3CA,3.290037891256156e-20
RECQL4,2.125503349941664e-12,C12orf42,1.28590136588664e-40,STRIP2,3.9429404964913605e-23,EFCAB13,1.8940658435301652e-31,LOC105370345,9.35933162980396e-34,LOC105375035,1.4900690679804336e-41,LOC105373347,5.84558915528156e-48,PRPS2,4.562050154639089e-20
KNL1,2.808960307175173e-12,LOC102723458,1.6679816615005402e-40,PAX3,4.151025016659241e-23,GABARAPL1,2.595985408589259e-31,LINC00964,2.041565632700727e-33,LOC112268318,3.82075166977573e-41,IDH1,6.53012544170128e-48,BACH2,4.206683451675843e-20
SPON2,3.0751359023496496e-12,LOC105379375,2.1564252508135667e-40,SYT16,3.861772933142828e-23,ZSWIM6,3.571310945031694e-31,ANKRD18B,1.5242455694617184e-33,ZMYND10,2.8329319108172594e-41,CTNNAL1,3.244505837345589e-48,IGF2,5.510731272162438e-20
GALNT14,3.0292631305415036e-12,AGBL4,1.485368600013088e-40,G2E3,5.0892410842734094e-23,METAP1,4.053655293476722e-31,ZNF608,2.385853484512187e-33,WWOX,1.278566477729735e-41,EXOC3L1,1.1949633994951095e-47,NEGR1,4.534176081707714e-20
F12,3.896592613550167e-12,LINC01692,1.9079253527326533e-40,LOC101929140,4.9450823896113824e-23,NUBPL,4.438584918341422e-31,LOC105379271,1.871601877538038e-33,DNM3,4.3003191018097673e-41,THSD7A,1.2066992184855878e-47,INS-IGF2,6.235972224978355e-20
DMRT1,4.511462832779209e-12,CDC42BPA,3.6446341019104732e-40,RABEP2,6.693333376582121e-23,ICA1,8.008347956375644e-31,GABRG3,3.843467176407897e-33,ADRB1,2.0861603891169347e-40,UTRN,7.284995264665194e-48,LOC105374056,7.623157305545852e-20
GPAA1,4.777948657468927e-12,FOCAD,1.345311932660494e-39,BAZ1A,6.428794603103982e-23,LINC02842,9.95165997089107e-31,WDR62,8.516236591744086e-33,LINC01210,2.1389039273424036e-40,HSD17B3,2.0011729506987992e-47,LINC00578,6.972032263283043e-20
ADCK5,5.20349304413987e-12,LINC02842,1.925456892993904e-39,SH3TC1,7.48512896225746e-23,GOLGA8F,1.3871305706388467e-30,LRRC24,2.20371500448299e-32,SLCO3A1,8.275036477731947e-41,VSIG1,4.3042721052773205e-47,MEF2C,9.33996976707752e-20
TOPAZ1,6.254192953627207e-12,SCLT1,2.4484171956237597e-39,GRK7,1.2934673934808354e-22,SRPK2,1.6367338971222887e-30,SMURF1,1.6892375134248844e-32,LINC00879,1.373050039184925e-40,DTNA,5.066664696912366e-47,IL1RAPL1,9.865620728808273e-20
ASAP1,6.786254944619986e-12,LOC100130987,3.071700276300443e-39,ZFHX4,1.7145120995437257e-22,RUNX2,2.0861377999143252e-30,LINC01049,2.205518991362108e-32,LDHC,1.1180527774584137e-40,ENPP1,1.5495420940039397e-46,IGF1R,1.1552935881634336e-19
RPL3,8.979442879654825e-12,RSPH10B2,4.384184567509271e-39,DRAM1,1.6236892940112504e-22,BRSK1,2.7611099185357437e-30,PNISR,3.4513664734030143e-32,LOC102723370,1.0421766638423322e-40,AR,2.2533699519556e-46,MED13L,1.3330009456589959e-19
CDH12,1.1294355824455455e-11,WDR54,3.657272490577586e-39,NLK,2.128873777354697e-22,CFAP100,2.2845475986228276e-30,RALGPS1,7.461565845027721e-32,SPAG6,1.289374588501336e-40,SYNE1,1.8320629187475525e-46,ABI3BP,2.0406032111060209e-19
SMC4,1.258057183632703e-11,DYNC2H1,3.151614387326165e-39,USP6,2.1726873226898657e-22,TEX43,4.963317564218817e-30,RNF17,6.669296649732033e-32,PRMT8,2.6675668963776074e-40,ZNF462,3.164777450819488e-46,NHS,2.4097284657054985e-19
ESX1,1.6246552540988808e-11,ESR1,2.0932763900929234e-38,NCKAP5,2.403862972424156e-22,EPN1,6.06304495036397e-30,SPATA8,1.01747662764538e-31,SLC16A7,2.5947452280116744e-40,ASTN2,2.179293317097408e-46,FTX,2.656584714090853e-19
CSTF3,1.5864728173377208e-11,FSIP2,2.717431040689625e-38,PGAP6,3.4183034111365193e-22,LOC107986178,5.621521158375329e-30,GML,2.1907819855896767e-31,ABCC12,1.318755503315648e-39,PAK3,1.6245298799502506e-45,RBFOX1,2.566186455202439e-19
GINS2,1.8642770645389416e-11,CEP112,2.657299809988265e-38,EPN1,3.351948845908191e-22,EMC10,7.988508036223246e-30,MMP9,2.230570394676376e-31,NDUFAF6,1.5843797012130474e-39,IFI27,1.9847516409119692e-45,MGP,3.3987935608745863e-19
SLC35F1,2.0823181760498465e-11,IQCK,3.4680936783851946e-38,KCNH8,3.371270876910795e-22,LOC101929710,6.428739467384191e-30,MORC2-AS1,2.440626532111906e-31,ZNF302,2.3075084752580723e-39,SLC25A29,3.0735427993300645e-45,TMTC2,2.880759858108212e-19
RPS16,2.4532511050963745e-11,TRIM33,5.894298847603126e-38,CCDC196,5.057887544629812e-22,PPP1R12B,6.938621223329397e-30,ANKRD20A1,2.6981221565683785e-31,SLC26A8,2.5593931465575264e-39,CALR,2.443229612916134e-45,SERPING1,3.6751031659024287e-19
SMYD3,2.5169257377850093e-11,NPTXR,8.15267625350867e-38,CRTAC1,6.751057789945334e-22,PTPN20,9.317236383669436e-30,NAA30,7.134258578874718e-31,PDE11A,3.179179914172302e-39,LMBR1,2.7756642783516826e-45,PDGFRA,3.8495461661769766e-19
ANP32B,2.8091536006694384e-11,NTN4,7.5993071856811e-38,CEP295,7.433281081920735e-22,LITAFD,1.4257556021219387e-29,YBX2,1.0161148647870764e-30,LINC01483,3.5285679760178625e-39,ARMH4,9.500915477664977e-45,PTPRD,3.0025948296469063e-19
PPIG,2.916980934471086e-11,BFSP1,1.1942487040018578e-37,LOC102723305,1.224037942572611e-21,AGBL1,2.0593118219968835e-29,LOC105371881,1.6885547882095924e-30,ABCA5,6.15137964385579e-39,MME,9.239738455554448e-45,KAT2A,3.615913951379998e-19
DDX24,2.985300928470522e-11,PPFIA2,1.0611477450419125e-37,C20orf141,1.3083879461410725e-21,NTN4,2.0576602422244503e-29,ARHGAP28,1.7175023808560128e-30,ANK3,6.737476454208168e-39,INTU,1.801327985548051e-44,LOC102723879,8.265026034918228e-19
LSM7,3.239561504007379e-11,CTXN2,1.4192767387826045e-37,ADGRV1,1.286669184588084e-21,NDEL1,2.6423083520467013e-29,LY6K,4.152690454177904e-30,OTUD6B-AS1,1.1054675081787477e-38,ARID5B,2.0356341141319144e-44,TMTC1,1.0829069922935459e-18
FANCC,3.2145190759578904e-11,DNAH9,9.730067877356007e-38,FBXO33,2.1485944552580753e-21,LOC105376819,3.098347200205008e-29,LOC105370982,3.104173461376018e-30,HSPA4L,5.018361908581826e-39,SERINC5,2.1890669897864e-44,PID1,1.1995026566088061e-18
LOC107986766,4.187777988733806e-11,ARHGEF3,1.300380552361125e-37,FGFR4,2.571080203816413e-21,STAT4,2.6752034560011124e-29,TERB2,5.1701624722194084e-30,MED12L,2.550461850931048e-38,WT1,5.381713668920284e-44,PDLIM3,1.8595205734779248e-18
CECR2,4.342881865518508e-11,LOC105375886,2.769976143090239e-37,NRBP1,2.685079995755341e-21,LINC00917,4.283942708860944e-29,GLT8D2,1.0679078244115655e-29,MPPE1,3.450108165287374e-38,DCBLD2,5.502127644826251e-44,SSBP2,1.657447736694986e-18
REV3L,4.971176122993507e-11,HEATR4,2.5866715746808446e-37,TRIM66,4.1398200587753206e-21,RFPL1,5.058309260740559e-29,SNAPC3,1.3573644841922126e-29,LOC105378302,4.3002476509426643e-38,GSTA3,9.154116411836573e-44,LOC107986356,2.6689710457845037e-18
CDH20,5.193230557264549e-11,ZPBP,3.0222242434479973e-37,MAP3K14-AS1,4.362983942599545e-21,C22orf42,1.0244933653924102e-28,G3BP1,1.9391915341517852e-29,CLCA4-AS1,3.272688988811675e-38,MAMLD1,1.4123050501313782e-43,TET2-AS1,3.0386054865810055e-18
DSCR8,5.3322987048952266e-11,LINC01846,8.914089602986328e-37,AGAP5,5.8692631835770794e-21,LDHB,1.2740824278384575e-28,METTL15,1.2671833313794902e-29,DSEL-AS1,4.2963023596881863e-38,SAMD12,1.2698820898648608e-43,LOC107986770,9.137849716966235e-18
PAFAH1B3,6.65973057770967e-11,RSPH10B,8.97579719735486e-37,MIR3936HG,7.671037462793376e-21,SH3GL3,1.3969961316725075e-28,DNAAF1,1.606624519369022e-29,SAMD13,7.96507602387137e-38,CTSC,1.730990136681935e-43,C1QTNF7,1.2051751569313874e-17
CT47A12,7.166737632188663e-11,KIF9-AS1,8.568611257341062e-37,TMEM252-DT,8.665953698496778e-21,C20orf144,2.491736634320426e-28,LOC349160,3.065406429025026e-29,DNAH14,3.086503146137307e-38,SLC39A4,2.011061942555084e-43,PRKCA,1.2309452017244277e-17
C8orf33,7.232560389970902e-11,LOC101927314,1.0888047011058053e-36,ST6GALNAC2,9.127694628190803e-21,SLCO6A1,2.9716029931638062e-28,SPATA22,4.0575377760369663e-29,MMP9,8.648264352963293e-38,ELMO1,1.730990136681935e-43,ASAP1,1.5008709440886043e-17
MOV10L1,7.166737632188663e-11,ZNF133-AS1,1.463701216217205e-36,KIF5C,9.16872739331243e-21,PHF1,3.904596621770382e-28,NEU3,5.927937936463554e-29,ESPL1,9.746716081883973e-38,CAMK2D,2.859832386774544e-43,LOC105373796,1.687443239930195e-17
STAG3,7.509827911035957e-11,C7orf57,2.3014157649612505e-36,LNPK,9.175218874347192e-21,USP46,7.957290671298229e-28,KASH5,7.232599286013614e-29,LEKR1,7.088305189182951e-38,GATA4,3.236126394174839e-43,CNTNAP2,1.6989339537258928e-17
AKT3,8.278430576780826e-11,CRPPA,3.253511496144748e-36,C9orf50,1.2988990208726219e-20,HDAC9,3.445837982161678e-27,RTTN,2.5082780728056193e-28,SLC12A6,1.362806068216122e-37,REPS1,6.143485051523123e-43,ECRG4,2.5053543233983105e-17
FBXW7,9.326201708597483e-11,NPHP1,2.581955246912655e-36,LINC01273,1.3853618208103508e-20,PCNP,4.365303245461335e-27,NR2F1-AS1,3.2432056673281067e-28,PLAAT5,3.002017414354191e-37,MAGED2,7.319105009462754e-43,AGAP1,2.0669455406423226e-17
SARNP,9.652691402518503e-11,SLC8A1-AS1,5.0238451387259774e-36,LPGAT1,1.1759728525413045e-20,LINC01837,5.037053101674304e-27,LOC105375643,4.747741972510189e-28,DIO2,3.0886013257142287e-37,MRO,8.822304630730074e-43,COL5A2,2.612544444151242e-17
SMIM13,1.0384538104643412e-10,SPATA17,5.116640861836041e-36,LOC105374138,1.705207630667021e-20,CCDC189,6.14963166902235e-27,NDUFAF6,3.2110372932291045e-28,LOC105372835,3.4491453871639666e-37,ATXN1,5.682206771557128e-43,COLEC12,3.065913874770203e-17
PRDX4,9.895963441447482e-11,LOC105377177,7.872726563746907e-36,VPS37C,1.885952481311938e-20,MGAT4C,6.382016356532662e-27,SMC4,4.486423732330985e-28,SNTG1,5.3146677981995515e-37,SCG5,9.75016404743611e-43,LOC105374971,4.107535062707021e-17
LINC02663,1.1377786121298097e-10,SNX24,1.1958065840422251e-35,FAM135B,1.8845876550245904e-20,NCAM2,7.517620254741185e-27,THOP1,7.521094395985432e-28,KCTD20,3.262247257878861e-37,ARAP2,1.1357998022892615e-42,BOC,5.69397876527988e-17
GRIN3B,1.1964934426407028e-10,CCDC148,2.4592958269361744e-35,ICA1,1.9049928626401397e-20,LOC284412,1.0349327537966547e-26,DPH6,5.521644104269197e-28,PUS7L,5.501720738804977e-37,THOC2,9.378865676176147e-43,INSR,5.039029269334826e-17
RAD23A,1.2359048559650605e-10,AUH,3.915645580593781e-35,C19orf54,2.225382023453016e-20,SLC9A1,1.5759435561622028e-26,TDRD10,7.428110281006265e-28,RUNX1,4.875088303502465e-37,MSI2,1.0817310872492205e-42,SLC30A8,5.3158517059395743e-17
LOC105379364,1.377921891711126e-10,DNAH8,4.2775685895661635e-35,LOC100505841,2.1514897756235975e-20,GSTT4,1.8287040794375338e-26,ERBIN,6.9512313386933015e-28,ENTPD1-AS1,4.274392947277741e-37,EXOC6,1.1878966942873753e-42,NFIB,5.674643037790304e-17
SH3KBP1,1.3772032576068986e-10,CFAP299,3.6141890628952225e-35,CCDC159,3.007345741704022e-20,MTRF1,1.9517970624244406e-26,IHO1,1.6072420624742395e-27,SPAG17,4.959422140326201e-37,IAPP,2.890624226232076e-42,PLAGL1,8.316177632827262e-17
amplicon-chrX-NXF2/2B/5,1.6428511727498875e-10,RBAK-RBAKDN,4.249628423940981e-35,USP15,3.4437296380993573e-20,RASEF,2.3479530359291993e-26,MOV10L1,4.5421733676186134e-27,LOC105375434,6.934716583092421e-37,RORA,1.0023537101963929e-42,ROBO1,1.0520065247829853e-16
LRRC45,1.68110095333974e-10,ATP1A4,6.493529285924217e-35,XPNPEP3,3.7422539735891685e-20,TTLL7,2.1322301648318316e-26,ZNF654,4.830080513223738e-27,CEP128,9.623454249757591e-37,PDIA6,4.226111567471927e-42,LOC105377124,1.2621390365087948e-16
PDE6D,1.6341704780118375e-10,GLIS3,5.970667912994287e-35,DDX5,3.8448221533585125e-20,CD96,2.8737675844105864e-26,ASZ1,5.108326643798324e-27,LOC112268145,1.528184966662277e-36,PTK2,2.4011799869616846e-42,EGFR,1.7237319122970073e-16
TENM2,1.6311745385272188e-10,LOC101929510,1.5066439629253302e-34,MAP4,3.6895698884029854e-20,SUN5,3.980141133384238e-26,TBC1D5,5.377016278809583e-27,PRH1,2.4791585496101142e-36,DHFR,8.780948401236539e-42,RARRES2,1.8583204170162177e-16
SLF1,1.7639544004637245e-10,LEKR1,7.023406409392785e-35,TTC39C-AS1,4.701937209904967e-20,DLG2,2.8629127832596663e-26,MAD2L1-DT,1.0224106033546769e-26,MGAT4D,3.478227262342141e-36,TBL1X,6.808527407591863e-42,MDGA2,1.819152677319284e-16
MIR181A2HG,1.6977537920486788e-10,CFAP61,1.075447737159257e-34,MUC19,4.701937209904967e-20,KCNC4,4.354732603750006e-26,TDRD12,1.4785310677234213e-26,DGKE,2.7243718957162486e-36,LGR4,1.1196424140251514e-41,MXRA8,2.3972537449999264e-16
LOC105377706,1.8212327274219423e-10,ADAM32,1.5557228309434376e-34,MAP2,4.3320099072203997e-20,LOC102467216,4.6352153610641627e-26,CIT,1.850901791524788e-26,LOC107986638,4.2766997896644296e-36,DDOST,2.2222042286459886e-41,YAP1,2.396109638099706e-16
MAPKAP1,1.8182663648308452e-10,NOVA1-DT,6.416489388354346e-34,TBC1D28,6.060158382097674e-20,DOC2A,4.758131439623703e-26,LOC105369649,2.697052792445916e-26,ARHGAP15,2.2298382132267253e-36,SLC19A2,6.940600993816762e-41,SOBP,2.6659292375281927e-16
MCM3AP,1.9233860414186954e-10,FSTL4,4.933733369594676e-34,LRMDA,4.8014536753064967e-20,EDIL3,4.784909805991565e-26,KIZ,2.086775733249561e-26,LOC105373563,8.593256306942352e-36,LRRC28,5.679746662577396e-41,TCF12,2.7307464137171056e-16
SHARPIN,2.205558660882064e-10,SMIM23,5.6780205040788095e-34,AFAP1L2,7.00329964674822e-20,TBC1D22A,5.711402273461212e-26,YWHAG,2.882447099659444e-26,PRH1-TAS2R14,7.704158458072758e-36,CRIM1,7.819508155210063e-41,MEIS1,3.586911505280746e-16
SNRPD2,2.2759263260488436e-10,CATSPER4,9.833886217123042e-34,C9orf153,7.43277574713919e-20,LMNB2,6.754790115485537e-26,ENTHD1,4.282382867336331e-26,NEU3,6.668127812754108e-36,SEPTIN6,6.726306337382684e-41,CERS6,3.4691965353429534e-16
LINC01166,3.046649257890681e-10,C5orf64,1.145180455794287e-33,LOC105378011,7.90742497058685e-20,TTN,7.366531156911144e-26,LRWD1,4.170306070522617e-26,SEPTIN12,7.510614144560137e-36,RUNX1T1,5.222111558059522e-41,SATB1,4.0354767705437804e-16
DNAJC1,3.0575661072369947e-10,C4orf17,1.579386285877631e-33,LOC100130701,1.0383454589536739e-19,CRY2,9.248168909268143e-26,CCDC15,4.9812897555009546e-26,LOC105371121,7.650765830048217e-36,ATG16L2,2.368682774369177e-40,GRAMD2B,4.59445436100509e-16
STXBP5L,3.318419156052823e-10,LRRC69,1.5239539661713854e-33,SAXO1,1.0215306447438142e-19,LINC01107,9.222686978050329e-26,LOC105372210,5.54536284362965e-26,PRH1-PRR4,1.782455499438638e-35,KIAA1958,2.0700316438303657e-40,DAB1,4.387719228808461e-16
NDUFS7,3.6729151795463286e-10,LINC02337,6.7032068432464425e-34,LOC105371291,1.286790518877451e-19,MRFAP1,1.1193849164827704e-25,DTL,6.705120400360145e-26,AHCY,1.77936376890359e-35,PABPN1,4.524351391267029e-40,NRP1,5.469723264420907e-16
ADK,4.170968632391039e-10,PLCD4,2.5758762540551417e-33,KLHL7,1.0835217634922499e-19,C20orf173,1.137377917360709e-25,SFR1,9.0397711604278e-26,CLGN,1.5824519131443857e-35,MBNL1,3.2512122856209664e-40,PDE3A,5.659580172898908e-16
DPF1,4.5788184050867255e-10,C6orf118,3.913951306653354e-33,NFX1,1.3181672434374936e-19,CALCOCO2,1.0409960465966185e-25,LOC107986487,9.262539349314337e-26,ART3,1.3450425707252927e-35,CDH2,4.149868346865742e-40,BMPR1B,5.791598371171441e-16
NAPA,4.95768382822041e-10,ZNF10,2.7094550560479006e-33,DLG2,1.224267564296981e-19,IQCA1L,1.6342520292123682e-25,DDX4,1.1216786211262675e-25,MORC2-AS1,2.8358535729742267e-35,MGST3,6.55709333612542e-40,IRAIN,7.416839887899112e-16
RPS8,5.787353139088527e-10,CFAP54,2.9242317370024726e-33,MARCKSL1,1.781437829094348e-19,TSC22D1,1.44930503692841e-25,FAM3B,1.3271029568527766e-25,TEX41,3.1657900534998797e-35,BCAM,8.359355272477251e-40,SOX5,6.580615363851863e-16
MNAT1,5.909707207583107e-10,LOC105370027,4.3107581016358174e-33,CCDC7,1.7490313513576405e-19,LOC105378891,2.035203170209376e-25,PKMYT1,1.6437495169708787e-25,SFMBT1,3.6225906843331945e-35,PCSK5,7.442556305276251e-40,RAPGEF2,8.491632710583877e-16
KPTN,6.942189233128843e-10,LOC105378041,6.230240153062278e-33,C1orf100,2.1410629587944681e-19,LINC02540,2.7409768962018105e-25,PIWIL1,1.8941417964628143e-25,LOC105376076,5.850659714116379e-35,TBC1D8,8.581934961981714e-40,C1R,1.1985223991010316e-15
ANKZF1,6.9795543375213e-10,amplicon-chrX-F8/F8A1/2/3/H2AB1/2/3,1.421732842247407e-32,SPTY2D1OS,2.34388263207831e-19,SIRT2,2.8955751426838732e-25,SPATA8-AS1,2.8286254623658085e-25,LOC100507384,5.844831524885658e-35,ITPR1,1.2794377858106209e-39,CDH20,1.1674251473270034e-15
